documento, document
palabra, word
uno, one
sobre, about
todo, all
fuera, out
arriba, up
abajo, down
tiempo, time
conozca, know
gente, peope
ver, see
volver, back
trabajo, work
primero, first
bueno, good
mal, bad
nuevo, new
huevo, egg
carne, meat
ahora, now
que, what
otro, other
escribe, write
día, day
número, number
hecho, made
agua, water
fuego, fire
teléfono, phone
auriculares, headphones
ordenador, computer
controlador, controller
puerta, door
mesa, table
pared, wall
jaula, cage
flor, flower
foto, picture
sofá, couch
piso, floor
lámpara, lamp
teclado, keyboard
ratón, mouse
escaleras, stairs
espejo, mirror
vidrio, glass
coche, car
perro, dog
frutas, fruits
